Orden de gobierno,Clave Ramo,Descripción Ramo,Tipo de Institución,Clave Institución,Siglas de la Institución,Institución,Clave de la UC,Nombre de la UC,Código del expediente,Referencia del expediente,Título del expediente,Partida específica,Ley,Tipo Procedimiento,Artículo de excepción,Descripción excepción,Contrato marco,Compra consolidada,Núm. Proc. Consolidación,Nombre Proc. Consolidación,Tipo Proc. Consolidación,Art. EXC. Proc. Consolidación,Número de procedimiento,Tipo de contratación,Carácter del procedimiento,Forma de participación,La contratación es por Caso fortuito o fuerza mayor,Crédito externo,Organismo financiero,Clave del programa federal,Clave de cartera SHCP,Fecha de publicación,Fecha de apertura,Fecha de fallo,Código del contrato,Núm. del contrato,Título del contrato,Descripción del contrato,Contrato plurianual,Estatus DRC,Fecha de inicio del contrato,Fecha de fin del contrato,Fecha de firma del contrato,Importe DRC,Moneda,Convenio modificatorio,Código Ref. Contrato,Estatus Contrato,Fecha firma contrato,Tipo de contrato,Monto sin imp./mínimo,Monto mínimo con imp.,Monto sin imp./máximo,Monto máximo con imp.,Moneda.1,Convenio modificatorio.1,Código Ref. último convenio,Fecha fin último conv,Monto sin imp./mínimo último conv,Monto mínimo con imp. último conv,Monto sin imp./máximo último conv,Monto máximo con imp. último conv,Fecha firma último conv,rfc,Proveedor o contratista,Folio en el RUPC,País de la empresa,Nacionalidad proveedor o contratista,Proveedor/contratista con auto registro en CompraNet,Estratificación,origen,Dirección del anuncio,clasificacion_llm,subcategoria_tic,marca_tic,Estado
APF,48,CULTURA,APF,48000,CULTURA,SECRETARIA DE CULTURA,48410003,DEPARTAMENTO DE COMITE,E-2025-00015281,SC/DGTIC/PSP/00078/2025,PRESTACIÓN DE SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR AL DESARROLLO DE,33901,LAASSP,"ADJUDICACIÓN DIRECTA POR SERVICIOS PRESTADOS POR PERSONA FÍSICA, QUE NO REQUIERA DE OTRO ESPECIALISTA O TÉCNICO",ART. 41 FR. XIV,"SERVICIOS PRESTADOS POR PERSONA FÍSICA (FRACCIÓN VII, DEL ARTÍCULO 3 DE LA LEY), Y QUE NO REQUIERER LA UTILIZACIÓN DE MÁS DE UN ESPECIALISTA O TÉCNICO.",,NO,,,,,AA-48-410-048410003-N-210-2025,SERVICIOS,NACIONAL,,NO,NO,,,,28/02/2025 02:17,,06/02/2025 00:00,C-2025-00015407,SC/DGTIC/PSP/00078/2025,PRESTACIÓN DE SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR AL DESARROLLO DE,"PRESTACIÓN DE SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR AL DESARROLLO DE SOLUCIONES Y ACCIONES DE MEJORA PARA LA ADMINISTRACIÓN EFICIENTE Y EFICAZ DE LOS SERVIDORES DEL CENTRO DE DATOS (SITE), DONDE SE ALOJA LA INFORMACIÓN DE LOS SISTEMAS INTERNOS DE LAS UNIDADES ADMINISTRATIVAS DE LA SECRETARÍA DE CULTURA.",NO,PUBLICADO,07/02/2025,31/12/2025,18/03/2025 12:13,339866.34,MXN,NO,2025-A-A-NAC-A-C-48-410-00012292,FORMALIZADO,18/03/2025 12:13,Cerrado,339866.34,,394244.95,,MXN,NO,,,339866.34,,,,,AAAR7902218RA,RODRIGO ERNESTO ALVAREZ AGUILERA,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/dd52bda39fc049278b43bdcfca165217/procedimiento,TIC,Mantenimiento de software institucional,NINGUNA,
APF,8,AGRICULTURA Y DESARROLLO RURAL,APF,008AFU,CONADESUCA,COMITE NACIONAL PARA EL DESARROLLO SUSTENTABLE DE LA CAÑA DE AZUCAR,008AFU999,DIRECCIÓN DE ADMINISTRACIÓN,E-2025-00018862,AFU 017-2025,SERVICIOS DE APOYO EN MATERIA CONTABLE Y PRESUPUESTAL PARA EL CONADESUCA,33903,LAASSP,"ADJUDICACIÓN DIRECTA POR SERVICIOS PRESTADOS POR PERSONA FÍSICA, QUE NO REQUIERA DE OTRO ESPECIALISTA O TÉCNICO",ART. 41 FR. XIV,"SERVICIOS PRESTADOS POR PERSONA FÍSICA (FRACCIÓN VII, DEL ARTÍCULO 3 DE LA LEY), Y QUE NO REQUIERER LA UTILIZACIÓN DE MÁS DE UN ESPECIALISTA O TÉCNICO.",,NO,,,,,AA-08-AFU-008AFU999-N-18-2025,SERVICIOS,NACIONAL,,NO,NO,,,,05/03/2025 05:09,,01/03/2025 00:00,C-2025-00017933,AFU 017-2025,SERVICIOS DE APOYO EN MATERIA CONTABLE Y PRESUPUESTAL PARA EL CONADESUCA,"SERVICIOS DE APOYO A LA DIRECCIÓN DE ADMINISTRACIÓN DEL CONADESUCA, EN MATERIA CONTABLE Y PRESUPUESTAL, REGISTRANDO EN EL SISTEMA DE CONTABILIDAD GUBERNAMENTAL DEL CONADESUCA, LAS OPERACIONES QUE SE DERIVEN DE LOS MOVIMIENTOS CONTABLES Y PRESUPUESTALES QUE RESULTEN DEL EJERCICIO DEL PRESUPUESTO APROBADO POR EL GOBIERNO FEDERAL PARA EL EJERCICIO FISCAL 2025, DE CONFORMIDAD CON LAS DISPOSICIONES ESTABLECIDAS EN LA LEY GENERAL DE CONTABILIDAD GUBERNAMENTAL, EN LOS POSTULADOS BÁSICOS DE CONTABILIDAD GUBERNAMENTAL, EN LAS NORMAS GENERALES Y ESPECÍFICAS DE INFORMACIÓN FINANCIERA GUBERNAMENTAL PARA EL SECTOR PARAESTATAL EMITIDAS POR LA UNIDAD DE CONTABILIDAD GUBERNAMENTAL DE LA SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO, GENERANDO LOS ESTADOS FINANCIEROS EN MATERIA CONTABLE, PRESUPUESTAL Y PROGRAMÁTICA, DE CONFORMIDAD CON LA NORMATIVIDAD CONTABLE GUBERNAMENTAL EMITIDA POR EL CONSEJO NACIONAL DE ARMONIZACIÓN CONTABLE (CONAC) Y SUPLETORIAMENTE EN LO NO PREVISTO EN ELLA, LAS NORMAS DE INFORMACIÓN FINANCIERA EMITIDAS POR EL CONSEJO MEXICANO DE NORMAS DE INFORMACIÓN FINANCIERA, A.C., (CINIF)",NO,PUBLICADO,01/03/2025,31/12/2025,08/03/2025 12:35,228448.28,MXN,NO,2025-A-A-NAC-A-C-08-AFU-00012919,FORMALIZADO,08/03/2025 12:35,Cerrado,228448.28,,265000,,MXN,NO,,,228448.28,,,,,AAJG7204111B3,GUSTAVO AYALA JACUINDE,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/7e46fecf0b1841ab9622173415185403/procedimiento,TIC,Mantenimiento de software institucional,NINGUNA,
APF,48,CULTURA,APF,4.80E+01,INBAL,INSTITUTO NACIONAL DE BELLAS ARTES Y LITERATURA,048E00995,DIRECCION DE RECURSOS MATERIALES,E-2025-00010679,CSPA/0144/2025,COADYUVAR EN EL DESARROLLO DE HOJAS DE CÁLCULO PARA AUMENTAR LA EFICIENCIA.,33901,LAASSP,"ADJUDICACIÓN DIRECTA POR SERVICIOS PRESTADOS POR PERSONA FÍSICA, QUE NO REQUIERA DE OTRO ESPECIALISTA O TÉCNICO",ART. 41 FR. XIV,"SERVICIOS PRESTADOS POR PERSONA FÍSICA (FRACCIÓN VII, DEL ARTÍCULO 3 DE LA LEY), Y QUE NO REQUIERER LA UTILIZACIÓN DE MÁS DE UN ESPECIALISTA O TÉCNICO.",,NO,,,,,AA-48-E00-048E00995-N-210-2025,SERVICIOS,NACIONAL,,NO,NO,,,,13/02/2025 20:10,,30/01/2025 00:00,C-2025-00010241,CSPA/0144/2025,COADYUVAR EN EL DESARROLLO DE HOJAS DE CÁLCULO PARA AUMENTAR LA EFICIENCIA.,COADYUVAR EN EL DESARROLLO DE HOJAS DE CÁLCULO PARA AUMENTAR LA EFICIENCIA EN EL ÁREA DE SERVICIOS AL PERSONAL RELACIONADOS CON LOS PROCESOS DE FOTO-CREDENCIALIZACIÓN Y EL ENVÍO DE MOVIMIENTOS AFILIATORIOS AL ISSSTE.,NO,PUBLICADO,01/02/2025,31/12/2025,04/03/2025 10:44,189655.17,MXN,NO,2025-A-A-NAC-A-C-48-E00-00007224,FORMALIZADO,04/03/2025 10:44,Cerrado,189655.17,,220000,,MXN,NO,,,189655.17,,,,,AARJ910122571,JUAN GABRIEL ARAGON RODRIGUEZ,855988,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/417058a24742451788f741e2d1041a1a/procedimiento,TIC,Desarrollo de software,NINGUNA,
APF,14,TRABAJO Y PREVISIÓN SOCIAL,APF,014P7R,INFONACOT,INSTITUTO DEL FONDO NACIONAL PARA EL CONSUMO DE LOS TRABAJADORES,014P7R001,"DIRECCION DE RECURSOS MATERIALES Y SERVICIOS GENERALES, SUBDIRECCION GENERAL DE ADMON",E-2025-00012927,SERVICIO DE SOPORTE TÉCNICO Y MEJORAMIENTO EVOLUTIVO DE LA PLATAFORMA SAP,SERVICIO DE SOPORTE TÉCNICO Y MEJORAMIENTO EVOLUTIVO DE LA PLATAFORMA SAP,33304,LAASSP,"ADJUDICACIÓN DIRECTA POR ADJUDICACIÓN A PROVEEDOR CON CONTRATO VIGENTE, BAJO LAS MISMAS CONDICIONES",ART. 41 FR. III,"PÉRDIDAS O COSTOS ADICIONALES, CUANTIFICADOS Y JUSTIFICADOS, O ENTRE OTROS SUPUESTOS, SE TRATE DE PROVEEDOR QUE TENGA CONTRATO VIGENTE ADJUDICADO POR LICITACIÓN PÚBLICA.",,NO,,,,,AA-14-P7R-014P7R001-N-9-2025,SERVICIOS,NACIONAL,,NO,NO,,,,17/02/2025 22:04,,07/02/2025 00:00,C-2025-00011404,FNCOT/AD/CAAS/008/2025,SERVICIO DE SOPORTE TÉCNICO Y MEJORAMIENTO EVOLUTIVO DE LA PLATAFORMA SAP,SERVICIO DE SOPORTE TÉCNICO Y MEJORAMIENTO EVOLUTIVO DE LA PLATAFORMA SAP DEL INSTITUTO,NO,PUBLICADO,09/02/2025,31/12/2025,21/02/2025 16:07,30373779,MXN,NO,2025-A-A-NAC-A-A-14-P7R-00007738,FORMALIZADO,21/02/2025 16:07,Abierto,22340094,25914509.04,30373779,35233583.64,MXN,NO,,,,,,,,ACI111011N91,ADVKNWCON CONSULTORIA EN IT S DE RL DE CV,,MX,MEXICANA,NO,PEQUEÑA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/4ff80007a91d4e08a4f1e07c5f6a4504/procedimiento,TIC,Mantenimiento de software institucional,Sap,
APF,51,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,APF,051GYN,ISSSTE,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN905,SUBDIRECCION DE ADMINISTRACION,E-2025-00025544,FOVI/0SPI/AD/SRV/0003/2025,SERVICIO PARA APOYAR EN LA GESTIÓN Y CONTROL DE LA HERRAMIENTA DE ANTIVIRUS Y PR,33901,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-51-GYN-051GYN905-N-23-2025,SERVICIOS,NACIONAL,,NO,NO,,,,21/03/2025 18:43,,18/03/2025 00:00,C-2025-00026066,FOVI/0SPI/AD/SRV/0003/2025,SERVICIO PARA APOYAR EN LA GESTIÓN Y CONTROL DE LA HERRAMIENTA DE ANTIVIRUS Y PR,SERVICIO PARA APOYAR EN LA GESTIÓN Y CONTROL DE LA HERRAMIENTA DE ANTIVIRUS Y PROTOCOLO SAMBA,NO,PUBLICADO,18/03/2025,31/12/2025,25/03/2025 10:03,359584.8,MXN,NO,2025-A-A-NAC-A-C-51-GYN-00020354,FORMALIZADO,25/03/2025 10:03,Cerrado,359584.8,,417118.4,,MXN,NO,,,359584.8,,,,,AEAA940720B92,ANGEL RICARDO ATENO AYALA,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b6935026ff404bf9844fd707f7c77ed0/procedimiento,TIC,Ciberseguridad,NINGUNA,
APF,12,SALUD,APF,012NDY,INSP,INSTITUTO NACIONAL DE SALUD PUBLICA,012NDY001,DEPARTAMENTO DE SERVICIOS GENERALES Y MANTENIMIENTO,E-2025-00009581,DAF/SGYM0002/2025,EFECTUAR LAS ACCIONES DE ATENCIÓN INTEGRAL Y SEGUIMIENTO,33104,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-12-NDY-012NDY001-N-24-2025,SERVICIOS,NACIONAL,,NO,NO,,,,31/01/2025 20:47,,29/01/2025 00:00,C-2025-00006923,DAF/SGYM0085/2025,EFECTUAR LAS ACCIONES DE ATENCIÓN INTEGRAL Y SEGUIMIENTO,"EFECTUAR LAS ACCIONES DE ATENCIÓN INTEGRAL Y SEGUIMIENTO DE LOS DIVERSOS REQUERIMIENTOS DE ACCESO A LA INFORMACIÓN PÚBLICA RECIBIDOS EN LA UNIDAD DE TRANSPARENCIA DEL INSTITUTO NACIONAL DE SALUD PÚBLICA (INSP) A TRAVÉS DE LA PLATAFORMA NACIONAL DE TRANSPARENCIA (PNT): SEGUIMIENTO A LAS SOLICITUDES DE ACCESO A LA INFORMACIÓN PÚBLICA COMPETENTES DE LAS ÁREAS DEL INSP, CUMPLIMIENTO A LOS RECURSOS DE REVISIÓN RECIBIDOS A TRAVÉS DEL SISTEMA DE COMUNICACIÓN CON LOS SUJETOS OBLIGADOS, ACTUALIZACIÓN Y CARGA DE INFORMACIÓN REQUERIDA EN EL SISTEMA DE PORTALES DE OBLIGACIONES DE TRANSPARENCIA (SIPOT) Y LA REVISIÓN  DE LOS AVISOS DE PRIVACIDAD Y LOS CONSENTIMIENTOS INFORMADOS DE LOS PROYECTOS DE INVESTIGACIÓN APROBADOS; ASÍ COMO TAMBIÉN EL CUMPLIMIENTO DE LA NORMATIVA EN MATERIA DE PROTECCIÓN DE DATOS PERSONALES EN POSESIÓN DE LAS DISTINTAS ÁREAS DEL INSP.",NO,PUBLICADO,04/02/2025,31/03/2025,10/02/2025 14:44,34000,MXN,NO,2025-A-A-NAC-A-C-12-NDY-00005688,FORMALIZADO,10/02/2025 14:44,Cerrado,34000,,39440,,MXN,NO,,,34000,,,,,AEAF920208AP0,FLOR MARIANA DEL ANGEL AQUINO,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a426a5a4f64244bdbe9da24547bba7d5/procedimiento,TIC,Ciberseguridad,NINGUNA,
APF,48,CULTURA,APF,48000,CULTURA,SECRETARIA DE CULTURA,48410003,DEPARTAMENTO DE COMITE,E-2025-00025441,SC/CCD/PSP/00597/2025,SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR EN EL CENTRO DE CULTURA DIGITA,33901,LAASSP,"ADJUDICACIÓN DIRECTA POR SERVICIOS PRESTADOS POR PERSONA FÍSICA, QUE NO REQUIERA DE OTRO ESPECIALISTA O TÉCNICO",ART. 41 FR. XIV,"SERVICIOS PRESTADOS POR PERSONA FÍSICA (FRACCIÓN VII, DEL ARTÍCULO 3 DE LA LEY), Y QUE NO REQUIERER LA UTILIZACIÓN DE MÁS DE UN ESPECIALISTA O TÉCNICO.",,NO,,,,,AA-48-410-048410003-N-714-2025,SERVICIOS,NACIONAL,,NO,NO,,,,29/03/2025 02:22,,10/03/2025 00:00,C-2025-00028769,SC/CCD/PSP/00597/2025,SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR EN EL CENTRO DE CULTURA DIGITA,"SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR EN EL CENTRO DE CULTURA DIGITAL (CCD) DENTRO DEL LABORATORIO WEB, LLEVANDO A CABO ACTIVIDADES COMO: LA ESTRATEGIA PARA EL DESARROLLO DE CONTENIDOS DIGITALES Y APLICACIONES PARA LA PÁGINA WEB Y LOS PROYECTOS EDITORIAL Y CCD RADIO, LA ORGANIZACIÓN DE INFORMACIÓN PARA MEJORAR LA ESTRUCTURA Y ACCESIBILIDAD EN LAS PLATAFORMAS DIGITALES, EL DISEÑO DE IMAGEN DIGITAL PARA TODAS LAS PLATAFORMAS DEL CCD Y LA IMPARTICIÓN DE TALLERES Y ORIENTACIONES EN TEMAS DE CONTENIDOS DIGITALES, APLICACIONES WEB Y ESTRATEGIAS DE ORGANIZACIÓN DE INFORMACIÓN.",NO,PUBLICADO,10/03/2025,30/11/2025,,251748.23,MXN,,,,,,,,,,,,,,,,,,,AEBK9208269K4,KETZALI ARREOLA BLANCO,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/4f75ad742e1645ff97edf1716e72180c/procedimiento,TIC,Consultoría en plataformas tecnológicas empresariales,NINGUNA,
APF,51,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,APF,051GYN,ISSSTE,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN905,SUBDIRECCION DE ADMINISTRACION,E-2025-00027396,FOVI/0SPI/AD/SRV/0010/2025,"APOYAR EN LA CONFIGURACIÓN, SEGUIMIENTO Y MANTENIMIENTO DE LOS PROYECTOS REFEREN",33901,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-51-GYN-051GYN905-N-48-2025,SERVICIOS,NACIONAL,,NO,NO,,,,28/03/2025 00:08,,24/03/2025 00:00,C-2025-00028469,FOVI/0SPI/AD/SRV/0010/2025,"APOYAR EN LA CONFIGURACIÓN, SEGUIMIENTO Y MANTENIMIENTO DE LOS PROYECTOS REFEREN","APOYAR EN LA CONFIGURACIÓN, SEGUIMIENTO Y MANTENIMIENTO DE LOS PROYECTOS REFERENTES A LOS APLICATIVOS JAVA",NO,PUBLICADO,24/03/2025,15/11/2025,01/04/2025 11:20,430452.75,MXN,NO,2025-A-A-NAC-A-C-51-GYN-00022397,FORMALIZADO,01/04/2025 11:20,Cerrado,430452.75,,499325.19,,MXN,NO,,,430452.75,,,,,AEGS830323IW3,SERAFIN ARREOLA GARCIA,,MX,MEXICANA,NO,PEQUEÑA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/85d93f0b34eb46f891251ea1d3236cc1/procedimiento,TIC,Mantenimiento de software institucional,NINGUNA,
APF,12,SALUD,APF,012NDY,INSP,INSTITUTO NACIONAL DE SALUD PUBLICA,012NDY001,DEPARTAMENTO DE SERVICIOS GENERALES Y MANTENIMIENTO,E-2025-00009589,DAF/SGYM0090/2025,"""SERVICIOS DE APOYO A UNIDADES ADMINISTRATIVAS",33104,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-12-NDY-012NDY001-N-23-2025,SERVICIOS,NACIONAL,,NO,NO,,,,31/01/2025 20:48,,29/01/2025 00:00,C-2025-00006921,DAF/SGYM0090/2025,"""SERVICIOS DE APOYO A UNIDADES ADMINISTRATIVAS","""SERVICIOS DE APOYO A UNIDADES ADMINISTRATIVAS DE LA DAF EN LA OPERACIÓN DE LOS MÓDULOS DE NÓMINA FEDERAL DE RECURSOS HUMANOS Y CONTRATOS DE HONORARIOS BAJO EL SISTEMA INFORMÁTICO PARA LA GESTIÓN ADMINISTRATIVA Y FINANCIERA INSTITUCIONAL
""",NO,PUBLICADO,04/02/2025,31/03/2025,13/02/2025 14:53,60234.48,MXN,NO,2025-A-A-NAC-A-C-12-NDY-00005687,FORMALIZADO,13/02/2025 14:53,Cerrado,60234.48,,69872,,MXN,NO,,,60234.48,,,,,AEOB790519MU6,BRUNO ARCE OCAMPO,,MX,MEXICANA,NO,PEQUEÑA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/c59aabe8b5104ec68fc97e287f8c5b9e/procedimiento,TIC,Mantenimiento de software institucional,NINGUNA,
APF,11,EDUCACIÓN PÚBLICA,APF,011B01,ONCETV,XE-IPN CANAL 11,011B01001,DIRECCION DE ADMINISTRACION Y FINANZAS,E-2024-00116534,2501428/ SRMYS/9486/24,DESARROLLADOR JR. A,33901,LAASSP,"ADJUDICACIÓN DIRECTA POR SERVICIOS PRESTADOS POR PERSONA FÍSICA, QUE NO REQUIERA DE OTRO ESPECIALISTA O TÉCNICO",ART. 41 FR. XIV,"SERVICIOS PRESTADOS POR PERSONA FÍSICA (FRACCIÓN VII, DEL ARTÍCULO 3 DE LA LEY), Y QUE NO REQUIERER LA UTILIZACIÓN DE MÁS DE UN ESPECIALISTA O TÉCNICO.",,NO,,,,,AA-11-B01-011B01001-N-381-2025,SERVICIOS,NACIONAL,,NO,NO,,,,24/12/2024 02:06,,18/12/2024 00:00,C-2024-00150962,XEIPN-0410-25,DESARROLLADOR JR. A,"ESTRUCTURAR, PROGRAMAR Y ADMINISTRAR LAS DIFERENTES PÁGINAS WEB, REQUERIDAS POR LAS DIFERENTES ÁREAS QUE FORMAN PARTE DE EL ONCE, PARA CONTRIBUIR EN LA PROVISIÓN DE HERRAMIENTAS DE DIFUSIÓN, PROYECCIÓN DE LA IMAGEN INSTITUCIONAL Y CONTENIDOS DE LA TELEVISORA POR INTERNET. ATENDER LOS REQUERIMIENTOS DE DESARROLLO DE HERRAMIENTAS DE ACCESO Y NAVEGACIÓN REMOTA, VINCULADAS A LOS ADMINISTRADORES DE CONTENIDO WEB, CON BASE EN LAS NECESIDADES DE LAS DIFERENTES ÁREAS QUE FORMAN PARTE DEL ONCE, PARA BRINDAR A LOS DIVERSOS USUARIOS, ALTERNATIVAS DE DISPONIBILIDAD DE LOS SERVICIOS Y PRODUCTOS MEDIANTE LAS PÁGINAS WEB DE EL ONCE. PROVEER LOS SERVICIOS DE DESARROLLO Y MANTENIMIENTO DE LOS PORTALES WEB Y APLICACIONES MÓVILES REQUERIDAS POR LAS DIFERENTES ÁREAS QUE FORMAN PARTE DE EL ONCE, PARA CONTRIBUIR EN LA DISPONIBILIDAD Y CONTINUIDAD OPERATIVA DE LOS SITIOS Y DINÁMICOS REQUERIDOS EN LA EXPOSICIÓN DE CONTENIDOS DE LA EMISORA.",NO,PUBLICADO,01/01/2025,30/06/2025,,72500,MXN,,,,,,,,,,,,,,,,,,,AILA9703282Y7,ALAN FIDEL AVILA LOPEZ,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/53eeae807c8540df892bb091be274301/procedimiento,TIC,Desarrollo de software,NINGUNA,
