Orden de gobierno,Clave Ramo,Descripción Ramo,Tipo de Institución,Clave Institución,Siglas de la Institución,Institución,Clave de la UC,Nombre de la UC,Código del expediente,Referencia del expediente,Título del expediente,Partida específica,Ley,Tipo Procedimiento,Artículo de excepción,Descripción excepción,Contrato marco,Compra consolidada,Núm. Proc. Consolidación,Nombre Proc. Consolidación,Tipo Proc. Consolidación,Art. EXC. Proc. Consolidación,Número de procedimiento,Tipo de contratación,Carácter del procedimiento,Forma de participación,La contratación es por Caso fortuito o fuerza mayor,Crédito externo,Organismo financiero,Clave del programa federal,Clave de cartera SHCP,Fecha de publicación,Fecha de apertura,Fecha de fallo,Código del contrato,Núm. del contrato,Título del contrato,Descripción del contrato,Contrato plurianual,Estatus DRC,Fecha de inicio del contrato,Fecha de fin del contrato,Fecha de firma del contrato,Importe DRC,Moneda,Convenio modificatorio,Código Ref. Contrato,Estatus Contrato,Fecha firma contrato,Tipo de contrato,Monto sin imp./mínimo,Monto mínimo con imp.,Monto sin imp./máximo,Monto máximo con imp.,Moneda.1,Convenio modificatorio.1,Código Ref. último convenio,Fecha fin último conv,Monto sin imp./mínimo último conv,Monto mínimo con imp. último conv,Monto sin imp./máximo último conv,Monto máximo con imp. último conv,Fecha firma último conv,rfc,Proveedor o contratista,Folio en el RUPC,País de la empresa,Nacionalidad proveedor o contratista,Proveedor/contratista con auto registro en CompraNet,Estratificación,origen,Dirección del anuncio,clasificacion_llm,subcategoria_tic,marca_tic
APF,47,ENTIDADES NO SECTORIZADAS,APF,047AYL,SPR,SISTEMA PUBLICO DE RADIODIFUSION DEL ESTADO MEXICANO,006AYL998,UNIDAD DE ADMINISTRACIÓN Y FINANZAS,E-2023-00000764,SPR-008-2023,SERVICIO DE APOYO EN LA CARGA DE INFORMACIÓN EN LA PLATAFORMA SIPOT,33901,LAASSP,"ADJUDICACIÓN DIRECTA POR SERVICIOS PRESTADOS POR PERSONA FÍSICA, QUE NO REQUIERA DE OTRO ESPECIALISTA O TÉCNICO",ART. 41 FR. XIV,"SERVICIOS PRESTADOS POR PERSONA FÍSICA (FRACCIÓN VII, DEL ARTÍCULO 3 DE LA LEY), Y QUE NO REQUIERER LA UTILIZACIÓN DE MÁS DE UN ESPECIALISTA O TÉCNICO.",,NO,,,,,AA-47-AYL-006AYL998-N-16-2023,SERVICIOS,NACIONAL,,NO,NO,,,,2023-01-19 18:45:36,,,C-2023-00000206,SPR-008-2023,SERVICIO DE APOYO EN LA CARGA DE INFORMACIÓN EN LA PLATAFORMA SIPOT,SERVICIO DE APOYO EN LA CARGA DE INFORMACIÓN EN LA PLATAFORMA SIPOT Y SISTEMA DE LA SHCP,NO,PUBLICADO,07/01/2023,31/12/2023,,348223.07,MXN,,,,,,,,,,,,,,,,,,,AAAJ890913DBA,JASMIN NATZIN ALDACO AVILA,,MX,MEXICANA,NO,MICRO,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/64d90fe72ee94932919a56357c51ed9e/procedimiento,TIC,Ciberseguridad,NINGUNA
APF,11,EDUCACIÓN PÚBLICA,APF,011B00,IPN,INSTITUTO POLITECNICO NACIONAL,011B00001,DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,E-2023-00066208,DSI-AACJ990208-2023-01,PRESTACIÓN DE SERVICIOS COMO DESARROLLADOR DE SISTEMAS WEB,33901,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-11-B00-011B00001-N-3895-2023,SERVICIOS,NACIONAL,,NO,NO,,,,2023-07-27 20:44:43,,,C-2023-00081789,DSI-AACJ990208-2023-01,PRESTACIÓN DE SERVICIOS COMO DESARROLLADOR DE SISTEMAS WEB,PRESTACIÓN DE SERVICIOS COMO DESARROLLADOR DE SISTEMAS WEB,NO,PUBLICADO,22/07/2023,31/12/2023,2023-08-03 18:06:38,90755.05,MXN,NO,2023-A-A-NAC-A-A-11-B00-00028625,FORMALIZADO,2023-08-03 18:06:38,Abierto,36302.02,,90755.05,,MXN,NO,,,,,,,,AACJ990208IW2,JESUS OCTAVIO ALVAREZ CARMONA,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/673b6d8e03d94b59b10dbab3504dff2f/procedimiento,TIC,Desarrollo de software,NINGUNA
APF,11,EDUCACIÓN PÚBLICA,APF,011B00,IPN,INSTITUTO POLITECNICO NACIONAL,011B00001,DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,E-2023-00066737,DSI-AAEB000508-2023-01,PRESTACIÓN DE SERVICIOS COMO DESARROLLADOR DE SISTEMAS WEB,33901,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-11-B00-011B00001-N-3912-2023,SERVICIOS,NACIONAL,,NO,NO,,,,2023-07-27 21:58:46,,,C-2023-00081887,DSI-AAEB000508-2023-01,PRESTACIÓN DE SERVICIOS COMO DESARROLLADOR DE SISTEMAS WEB,PRESTACIÓN DE SERVICIOS COMO DESARROLLADOR DE SISTEMAS WEB PARA LA DIRECCIÓN DE SISTEMAS INFORMÁTICOS,NO,PUBLICADO,22/07/2023,31/12/2023,2023-08-03 17:40:30,90755.05,MXN,NO,2023-A-A-NAC-A-A-11-B00-00028663,FORMALIZADO,2023-08-03 17:40:30,Abierto,36302.02,,90755.05,,MXN,NO,,,,,,,,AAEB000508S67,BRAULIO ABRAJAN ESQUIVEL,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/9df6b8318dae4c64b05cd65460d1c6ef/procedimiento,TIC,Desarrollo de software,NINGUNA
APF,13,MARINA,APF,013J3E,ASIPONA-VERACRUZ,"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL VERACRUZ, S.A. DE C.V.",013J3E001,VERACRUZ-GERENCIA DE ADMINISTRACION Y FINANZAS,E-2023-00019025,SOL_COT_10_2023,SERVICIO DE MANTENIMIENTO DE SERVICIOS VIRTUALIZADOS ORACLE LINUX KVM MANAGER,33301,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-13-J3E-013J3E001-N-16-2023,SERVICIOS,NACIONAL,,NO,NO,,,,2023-03-23 18:44:49,,,C-2023-00051645,33712,SERVICIO DE MANTENIMIENTO DE SERVICIOS VIRTUALIZADOS ORACLE LINUX KVM MANAGER,SERVICIO DE MANTENIMIENTO DE SERVICIOS VIRTUALIZADOS ORACLE LINUX KVM Y BASE DA DATOS ORACLE,NO,PUBLICADO,08/05/2023,31/12/2023,2023-08-03 19:27:29,198900.0,MXN,NO,2023-A-A-NAC-A-C-13-J3E-00021945,FORMALIZADO,2023-08-03 19:27:29,Cerrado,198900.0,,230724.0,,MXN,NO,,,198900.0,,,,,AAPJ7608105G9,JUAN CARLOS ALVARADO PEÑALOZA,,MX,MEXICANA,NO,PEQUEÑA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/69e4d11aba2c46d181ae6067d9170550/procedimiento,TIC,Mantenimiento de software institucional,Oracle
APF,11,EDUCACIÓN PÚBLICA,APF,011B00,IPN,INSTITUTO POLITECNICO NACIONAL,011B00001,DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,E-2023-00100529,DSI-AAVH920404-2023-01,PRESTACIÓN DE SERVICIOS COMO DESARROLLADOR DE SISTEMAS WEB,33901,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-11-B00-011B00001-N-5824-2023,SERVICIOS,NACIONAL,,NO,NO,,,,2023-10-13 17:57:11,,,C-2023-00126724,DSI-AAVH920404-2023-01,PRESTACIÓN DE SERVICIOS COMO DESARROLLADOR DE SISTEMAS WEB,PRESTACIÓN DE SERVICIOS COMO DESARROLLADOR DE SISTEMAS WEB PARA LA DIRECCIÓN DE SISTEMAS INFORMÁTICOS,NO,PUBLICADO,12/10/2023,31/12/2023,2023-10-15 22:28:09,115292.25,MXN,NO,2023-A-A-NAC-A-A-11-B00-00042645,FORMALIZADO,2023-10-15 22:28:09,Abierto,46116.9,,115292.25,,MXN,NO,,,,,,,,AAVH920404373,HILDA LIZBETH ALVAREZ VELAZQUEZ,,MX,MEXICANA,NO,NO MIPYME,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/ac86798fd1fd4f4ca5f9c757850163aa/procedimiento,TIC,Desarrollo de software,NINGUNA
GEM,60,AGUASCALIENTES,GE,060N60,UPA,UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES,901040991,SECRETARÍA ADMINISTRATIVA,E-2023-00122573,UPA-347-DPL-2023,LICENCIA ANUAL CANVAS CLOUD SUBSCRIPTION PARA 200 USUARIOS,32701,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-60-N60-901040991-N-7-2023,SERVICIOS,NACIONAL,,NO,NO,,11U006-S ORG DESCENT ESTATALES,,2023-11-27 23:18:07,,,C-2023-00155034,UPA-SERV-029-2023,LICENCIA ANUAL CANVAS CLOUD SUBSCRIPTION PARA 200 USUARIOS,LICENCIA ANUAL CANVAS CLOUD SUBSCRIPTION PARA 200 USUARIOS,NO,PUBLICADO,22/11/2023,09/12/2024,2023-12-07 10:26:50,177193.8,MXN,NO,2023-A-A-NAC-A-C-60-N60-00052707,FORMALIZADO,2023-12-07 10:26:50,Cerrado,177193.8,,205544.81,,MXN,NO,,,177193.8,,,,,ACA920521LG9,ACERTA COMPUTACION APLICADA SA DE CV,4231,MX,MEXICANA,NO,MEDIANA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/4ad210cbfdc344cb8cad4a0c8cc40054/procedimiento,TIC,Adquisición de licencias de software,NINGUNA
APF,18,ENERGÍA,APF,018TOM,CENACE,CENTRO NACIONAL DE CONTROL DE ENERGIA,018TOM999,SUBDIERCCION DE ADMINISTRACION,E-2023-00080380,E-999-2023-061,"PLATAFORMA DE OBSERVABILIDAD, AUTOMATIZACIÓN E INTELIGENCIA PARA ENTORNOS COMPLE","33301, 33903",LAASSP,LICITACIÓN PÚBLICA,,,,NO,,,,,LA-18-TOM-018TOM999-N-65-2023,SERVICIOS,NACIONAL,ELECTRÓNICA,NO,NO,,,,2023-09-05 22:19:42,2023-09-22 15:00:00,2023-10-03 16:00:00,C-2023-00119907,CENACE-087-LP-S-087- 2023,"PLATAFORMA DE OBSERVABILIDAD, AUTOMATIZACIÓN E INTELIGENCIA PARA ENTORNOS COMPLE","PLATAFORMA DE OBSERVABILIDAD, AUTOMATIZACIÓN E INTELIGENCIA PARA ENTORNOS COMPLEJOS QUE PERMITA MONITOREAR, GESTIONAR, ANALIZAR Y OPTIMIZAR LAS APLICACIONES Y PROCESOS DE NEGOCIO BASADO EN DATOS",NO,PUBLICADO,04/10/2023,03/10/2024,2023-10-17 12:47:38,4041624.0,MXN,NO,2023-A-L-NAC-A-C-18-TOM-00043402,FORMALIZADO,2023-10-17 12:47:38,Cerrado,4041624.0,,4688283.84,,MXN,NO,,,4041624.0,,,,,ACC071211NW6,ACCSOFTWARE SA DE CV,,MX,MEXICANA,NO,MICRO,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/92541a1e90bd444a90e376d7ac8f8259/procedimiento,TIC,Servicios de nube o virtualización,NINGUNA
APF,14,TRABAJO Y PREVISIÓN SOCIAL,APF,014P7R,INFONACOT,INSTITUTO DEL FONDO NACIONAL PARA EL CONSUMO DE LOS TRABAJADORES,014P7R001,"DIRECCION DE RECURSOS MATERIALES Y SERVICIOS GENERALES, SUBDIRECCION GENERAL DE ADMON",E-2023-00066407,LICENCIAS SAP,LICENCIAS SAP,"32701, 33304",LAASSP,LICITACIÓN PÚBLICA,,,,NO,,,,,LA-14-P7R-014P7R001-N-52-2023,SERVICIOS,NACIONAL,ELECTRÓNICA,NO,NO,,,,2023-07-27 23:44:34,2023-08-11 16:00:00,2023-08-21 23:30:00,C-2023-00095941,FNCOT/LP/175/2023,LICENCIAS SAP,SERVICIO INTEGRAL DE RENOVACIÓN DE LICENCIA SAP CON SOPORTE TÉCNICO Y MEJORAMIENTO EVOLUTIVO,SI,PUBLICADO,01/09/2023,31/07/2024,2023-09-11 08:24:33,27363482.65,MXN,SI,2023-A-L-NAC-P-A-14-P7R-00034843,FORMALIZADO,2023-09-11 08:24:33,Abierto,27363482.65,,29519082.65,,MXN,SI,2023-A-L-NAC-P-A-14-P7R-00034843-0002,2024-09-12 00:00:00,27363482.65,31741639.9,32318259.11,37489180.57,2024-08-28 09:42:27,ACI111011N91,ADVKNWCON CONSULTORIA EN IT S DE RL DE CV,,MX,MEXICANA,NO,PEQUEÑA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/78f3f23938654d78b3a3e28a778c607f/procedimiento,TIC,Adquisición de licencias de software,Sap
APF,6,HACIENDA Y CRÉDITO PÚBLICO,APF,006G0N,BANCOMEXT,"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",006G0N001,SUBDIRECCIÓN DE ADQUISICIONES DE BIENES MUEBLES Y SERVICIOS,E-2023-00010913,0202302015,"RENOVACIÓN, ACTUALIZACIÓN Y MANTENIMIENTO DE LA LICENCIA  NESSUS PROFESSIONAL",32701,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-06-G0N-006G0N001-N-13-2023,SERVICIOS,NACIONAL,,NO,NO,,,,2023-02-28 03:43:48,,,C-2023-00007055,202302010,"RENOVACIÓN, ACTUALIZACIÓN Y MANTENIMIENTO DE LA LICENCIA  NESSUS PROFESSIONAL","SERVICIO DE RENOVACIÓN, ACTUALIZACIÓN Y MANTENIMIENTO DE LA LICENCIA DE USO DEL SOFTWARE NESSUS VERSIÓN PROFESSIONAL",NO,PUBLICADO,01/03/2023,29/02/2024,2023-03-13 15:40:28,3360.24,USD,NO,2023-A-A-NAC-A-C-06-G0N-00005179,FORMALIZADO,2023-03-13 15:40:28,Cerrado,3360.24,,3897.88,,USD,NO,,,3360.24,,,,,ACO000228JUA,ARTERIA COMUNICACIONES SA DE CV,19396,MX,MEXICANA,NO,PEQUEÑA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/f30f4aee3dad490da684ddb15304e9b1/procedimiento,TIC,Adquisición de licencias de software,NINGUNA
APF,6,HACIENDA Y CRÉDITO PÚBLICO,APF,006HJO,BANCODELBIENESTAR,"BANCO DEL BIENESTAR S.N.C., I.B.D.",006HJO001,DIRECCIÓN DE RECURSOS MATERIALES,E-2023-00101131,BABIEN-DGAA-AD-013-2023,SERVICIO DE LICENCIAMIENTO DE ACUNETIX PREMIUM,32701,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,ART. 42 PÁRRAFO PRIMERO,"ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS, DENTRO DE LOS MONTOS MÁXIMOS ESTABLECIDOS EN EL PEF.",,NO,,,,,AA-06-HJO-006HJO001-N-62-2023,SERVICIOS,NACIONAL,,NO,NO,,,,2023-10-16 19:53:36,,,C-2023-00128574,BABIEN-DGAA-AD-013-2023,SERVICIO DE LICENCIAMIENTO DE ACUNETIX PREMIUM,SERVICIO DE LICENCIAMIENTO DE ACUNETIX PREMIUM,NO,PUBLICADO,13/10/2023,31/12/2023,2023-10-27 16:36:48,236766.6,MXN,NO,2023-A-A-NAC-A-C-06-HJO-00045890,FORMALIZADO,2023-10-27 16:36:48,Cerrado,236766.6,,274649.26,,MXN,NO,,,236766.6,,,,,ACO000228JUA,ARTERIA COMUNICACIONES SA DE CV,19396,MX,MEXICANA,NO,PEQUEÑA,Plataforma Integral CompraNet,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/d3314bc762464eeba47cb2b834a0b50f/procedimiento,TIC,Adquisición de licencias de software,NINGUNA
